prec,       card,      avg_est,      std_err,      max_err
 6,          110,       107.37,     0.131759,     0.279279
 6,          110,       106.33,     0.149351,     0.297297
 6,          110,       111.10,    0.0927383,     0.207207
 6,          110,       108.57,     0.124327,     0.207207
 6,          110,       106.73,     0.105805,     0.234234
 6,          110,       108.97,     0.109382,     0.261261
 6,          111,       112.53,     0.126269,     0.267857
 6,          111,       118.50,     0.176224,     0.464286
 6,          111,       110.30,     0.124261,     0.267857
 6,          111,       115.27,       0.1364,     0.357143
 6,          111,       113.07,      0.15085,     0.464286
 6,          112,       111.50,    0.0956097,     0.185841
 6,          112,       117.93,     0.152324,     0.345133
 6,          112,       111.63,     0.116212,     0.256637
 6,          112,       112.40,     0.141058,     0.345133
 6,          112,       112.07,      0.11738,     0.256637
 6,          113,       118.30,      0.13358,     0.333333
 6,          113,       118.33,     0.152457,     0.438596
 6,          113,       111.20,     0.132753,     0.333333
 6,          113,       107.77,     0.105678,     0.219298
 6,          113,       112.73,     0.112028,     0.254386
 6,          114,       114.37,     0.142857,     0.426087
 6,          114,       117.13,      0.15905,     0.321739
 6,          114,       117.40,     0.173267,     0.321739
 6,          114,       116.47,     0.129562,     0.321739
 6,          114,       119.73,      0.15218,     0.321739
 6,          115,       119.50,     0.160522,     0.534483
 6,          115,       121.87,     0.169143,     0.534483
 6,          115,       118.80,     0.132936,     0.310345
